year,age,area,gender,event,value
2013,19,Всего по республике,both,arrive,1418
2013,19,Всего по республике,female,arrive,881
2013,19,Всего по республике,male,arrive,537
2013,20,Всего по республике,both,arrive,1489
2013,20,Всего по республике,female,arrive,945
2013,20,Всего по республике,male,arrive,544
2013,21,Всего по республике,both,arrive,1268
2013,21,Всего по республике,female,arrive,805
2013,21,Всего по республике,male,arrive,463
2013,22,Всего по республике,both,arrive,1233
2013,22,Всего по республике,female,arrive,774
2013,22,Всего по республике,male,arrive,459
2013,23,Всего по республике,both,arrive,1260
2013,23,Всего по республике,female,arrive,755
2013,23,Всего по республике,male,arrive,505
2013,24,Всего по республике,both,arrive,1282
2013,24,Всего по республике,female,arrive,781
2013,24,Всего по республике,male,arrive,501
2013,25,Всего по республике,both,arrive,1324
2013,25,Всего по республике,female,arrive,795
2013,25,Всего по республике,male,arrive,529
2013,26,Всего по республике,both,arrive,1296
2013,26,Всего по республике,female,arrive,794
2013,26,Всего по республике,male,arrive,502
2013,27,Всего по республике,both,arrive,1142
2013,27,Всего по республике,female,arrive,647
2013,27,Всего по республике,male,arrive,495
2013,28,Всего по республике,both,arrive,1131
2013,28,Всего по республике,female,arrive,644
2013,28,Всего по республике,male,arrive,487
2013,29,Всего по республике,both,arrive,1133
2013,29,Всего по республике,female,arrive,630
2013,29,Всего по республике,male,arrive,503
2013,30,Всего по республике,both,arrive,1019
2013,30,Всего по республике,female,arrive,561
2013,30,Всего по республике,male,arrive,458
2013,31,Всего по республике,both,arrive,886
2013,31,Всего по республике,female,arrive,467
2013,31,Всего по республике,male,arrive,419
2013,32,Всего по республике,both,arrive,760
2013,32,Всего по республике,female,arrive,419
2013,32,Всего по республике,male,arrive,341
2013,33,Всего по республике,both,arrive,780
2013,33,Всего по республике,female,arrive,417
2013,33,Всего по республике,male,arrive,363
2013,34,Всего по республике,both,arrive,699
2013,34,Всего по республике,female,arrive,370
2013,34,Всего по республике,male,arrive,329
2013,35,Всего по республике,both,arrive,593
